Target ID,Proasis ID,Structure,Compound ID,IC50,Task,binding_affinity,rank,binding_affinity_ratio
L3001,0atx0,Fc1ccc(cc1)Cc2ncnc3c2CN(CC3)C(=O)Cc4cc(c(cc4)Cl)Cl,41.0,0.763858932,PA,-8.395998582720297,88,0.0
L3003,0atx2,FC(F)(F)c1cc(c(cc1)CCC(=O)N2CCN(CC2)Cc3c(cc(cc3)S(=O)(=O)N)F)Cn4nnc(n4)C,43.0,0.018613433,PA,-10.610211796535024,37,-2.2142132138147277
L3009,0atx8,FC(F)(F)c1cc(c(cc1)CCC(=O)N2CC3=C(C2)CN(C3)C(=O)c4ncc(cc4F)S(=O)(=O)N)Cn5nnc(n5)C,3.0,0.001630097,PA,-12.061860746190218,3,-3.6658621634699213
L3019,0atxj,Clc1c(cc(c(c1)C(C)(C)C)COc2n[nH]c3c2CCN(CC3)C(=O)c4ccc(cc4)S(=O)(=O)N)C,57.0,0.015032797,PA,-10.73756811054188,33,-2.3415695278215827
L3021,0atxl,FC(F)(F)c1cc(c(cc1)CCC(=O)N2CCC(CC2)CC[S@@](=O)c3sc(cn3)S(=O)(=O)N)Cn4nnc(n4)C,59.0,0.002309868,PA,-11.85408957985962,8,-3.4580909971393226
L3024,1atx2,Brc1cc(ccc1)[C@@H](NC(=O)COc2c(cccc2CN3CC(C3)(F)F)OC)CC(=O)NC,62.0,0.2769834,PA,-9.000697653996212,77,-0.6046990712759164
L3026,1atx4,Clc1cc(cc(c1)COC(=O)N5CC2(OCC(C2)NC(=O)c4cc3[nH]nnc3cc4)C5)Cl,64.0,0.007541006,PA,-11.148804795301368,22,-2.7528062125810706
L3027,1atx5,Clc1ccc(cc1)CN2C(=O)NC(C2=O)(C)c3ccc(cc3)C,65.0,0.956439359,PA,-8.261974880404711,95,0.13402370231558683
L3028,1atx6,Clc1c(ccc(c1)Cl)CCC(=O)N[C@H]3Cc2c(cccc2)CN(C3=O)CC(=O)NC,66.0,0.76298425,PA,-8.396681557898605,87,-0.0006829751783079272
L3031,1atx9,Brc1ccc(cc1)CNCc2cn(c3c2cccc3)CCC(=O)NC,69.0,10.0,PA,-6.862854869668753,116,1.5331437130515444
L3035,1atxd,Fc1ccc(cc1)Cc2c3c(ccc2)CCN(C3)C(=O)Cc4cc(c(cc4)Cl)Cl,73.0,0.769073102,PA,-8.391943375241993,89,0.004055207478303287
L3037,1atxf,[nH]1nc(cc1COc2c(cc(c(c2)C)C#N)C(C)(C)C)C(=O)N4CC3(COCC3)CC4,75.0,0.008244959,PA,-11.0956050231655,25,-2.6996064404452045
L3038,1atxg,Clc1c(cc(c(c1)OCc2n(c(cn2)C#N)C)C(C)(C)C)C#N,32.0,0.049465548,PA,-10.027587887117527,53,-1.6315893043972285
L3039,1atxh,N1C=CC=C(C1=O)COc2c(cc(c(c2)C)C#N)C(C)(C)C,76.0,0.0895237,PA,-9.673965291825727,63,-1.2779667091054299
L3042,1atxk,Clc1c(cc(c(c1)OCc2n(c(cn2)C(=O)N4C3(COC3)CC4)C)C(C)(C)C)C#N,35.0,0.124297378,PA,-9.478341062829765,64,-1.0823424801094679
L3043,1atxl,Clc1c(cc(c(c1)OCc2n3c(cn2)C(=O)N(CC3)C)C(C)(C)C)C#N,37.0,0.416171893,PA,-8.75800102153713,80,-0.36200243881683225
L3044,1atxm,Clc1c(cc(c(c1)OCc2n(c(cn2)C(=O)NC)C)C(C)(C)C)C#N,34.0,0.085354073,PA,-9.702396415713803,61,-1.3063978329935062
L3045,1atxn,Clc1c(cc(c(c1)OCc2n(c(cn2)C(=O)NC3COC3)C)C(C)(C)C)C#N,25.0,0.015741051,PA,-10.710125018267236,34,-2.3141264355469398
L3047,1atxp,[nH]1nncc1CCOCC(=O)N3Cc2nc(ncc2C3)NC5Cc4c(cccc4)C5,80.0,0.001737604,PA,-12.023789251631234,4,-3.627790668910935
L3049,1atxr,Clc1c(cc(c(c1)OCc2n(c(cn2)C(=O)NC3CS(=O)(=O)C3)C)C(C)(C)C)C#N,21.0,0.004969038,PA,-11.397455591814827,15,-3.0014570090945316
L3050,1atxs,N1N=C(CCC1=O)COc2c(cc(c(c2)C)C#N)C(C)(C)C,82.0,0.024384981,PA,-10.449214792306218,41,-2.0532162095859205
L3053,1atxv,Clc1c(cc(c(c1)OCc2n(c(cn2)-c3noc(c3)C4COC4)C)C(C)(C)C)C#N,26.0,0.01677575,PA,-10.672175874781251,35,-2.276177292060953
L3054,1atxw,Clc1c(cc(c(c1)OCc2n(c(cn2)-c3ncnc(c3)OC)C)C(C)(C)C)C#N,31.0,0.041649421,PA,-10.13011050635152,46,-1.734111923631225
L3056,1atxy,s1nc2c(n1)cccc2OCC(=O)N3[C@@H](CC3)C(=O)N,86.0,10.0,PA,-6.862854869668753,115,1.5331437130515444
L3057,1atxz,Clc1cc2c(cc1)CC(C2)Nc3nc4c(cn3)CN(C4)S(=O)(=O)C5COC5,87.0,0.021433681,PA,-10.52611398533033,40,-2.130115402610032
L3058,1bltr,Fc1c(ccc(c1)C)-c2cc(cc(c2)C(=O)NCc3ncc(nc3)C)-n4nnnc4CCC,88.0,0.771863201,PA,-8.389784713877187,90,0.006213868843110836
L3060,1bzwa,Clc1cc(cc(c1)COC(=O)N3CCC2(CN(C2)C(=O)C)CC3)Cl,90.0,0.716797858,PA,-8.433904137484914,86,-0.03790555476461711
L3061,1cuvw,Clc5cc1c(n(c2c1CCN(C2)C(=O)CCc3[nH]cnc3)Cc4ccc(cc4)C#N)cc5,91.0,1.379984022,PA,-8.043438771589056,100,0.35255981113124213
L3064,1dsht,Clc1c(cc(c(c1)C(C)C)C2=NNC(=O)N2C)C,94.0,0.8435814648171239,PA,-8.336821739563579,93,0.05917684315671872
L3066,1fnkr,N1N=C(N(C1=O)C)c2cc4c(c(c2)OCC3CC3)cccc4,96.0,10.0,PA,-6.862854869668753,117,1.5331437130515444
L3068,1gizv,Fc1c(cccc1)-c2cc3c(cc2)N=C(CC(=O)N3)c4cc(ccc4)-c5nnc(o5)C,98.0,10.0,PA,-6.862854869668753,122,1.5331437130515444
L3073,1jgoe,S2\C(=C\c1ccc(cc1)C(C)(C)C)\C(=O)N=C2N3CCCC3,103.0,0.210793024,PA,-9.163481150739706,70,-0.7674825680194086
L3075,1jllp,O3c1c(ccc(c1CCC)OCC(O)COc2c(c(c(cc2)C(=O)C)O)CCC)C(=O)C=C3C(=O)O,105.0,0.214266814,PA,-9.153737711644707,71,-0.7577391289244105
L3076,1juoa,FC(F)(F)Oc1cc(c(cc1)COC(=O)N3CCn2nc(cc2C3)C(=O)N5CCc4[nH]nnc4C5)C,106.0,0.268338597,PA,-9.019598776037835,75,-0.623600193317539
L3077,1jxwo,Clc1cc(cc(c1)CCS(=O)(=O)[C@@H]5C[C@@H]2[C@@H](CN(C2)C(=O)c4cc3nn[nH]c3cc4)C5)Cl,107.0,0.129443784,PA,-9.454157415578338,66,-1.0581588328580405
